City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,xiaoweizhai,26.1903,107.5125,278.32,88,100,2.56,CN,1699848179
1,udachny,66.4167,112.4,261.18,84,100,3.64,RU,1699848104
2,chifeng,42.2683,118.9636,273.84,47,0,3.56,CN,1699848179
3,sardarshahr,28.4333,74.4833,295.24,39,2,2.26,IN,1699848180
4,ushuaia,-54.8,-68.3,282.96,53,0,4.12,AR,1699848084
5,olonkinbyen,70.9221,-8.7187,269.95,67,100,2.57,SJ,1699848088
6,puerto natales,-51.7236,-72.4875,278.09,86,100,2.21,CL,1699847820
7,port-aux-francais,-49.35,70.2167,277.59,79,100,2.9,TF,1699847788
8,mar del plata,-38.0023,-57.5575,284.19,75,0,2.06,AR,1699847930
9,adamstown,-25.066,-130.1015,295.94,86,99,8.81,PN,1699847798
10,leh,34.1667,77.5833,275.4,40,70,1.73,IN,1699848180
11,sivaganga,9.8667,78.4833,300.38,66,99,7.2,IN,1699848181
12,margaret river,-33.95,115.0667,297.79,49,55,3.03,AU,1699848181
13,kodiak,57.79,-152.4072,271.88,80,40,1.54,US,1699847889
14,chuguyevka,44.1653,133.8633,270.16,62,89,4.5,RU,1699848181
15,remire-montjoly,4.9167,-52.2667,300.07,83,1,4.8,GF,1699847900
16,aioun,16.6614,-9.6149,299.32,19,27,4.35,MR,1699848181
17,ban houakhoua,20.2453,100.4547,301.36,71,62,0.71,LA,1699848181
18,bredasdorp,-34.5322,20.0403,286.61,86,53,0.75,ZA,1699848091
19,quellon,-43.1167,-73.6167,280.9,85,100,5.18,CL,1699847917
20,naze,28.3667,129.4833,291.66,64,96,8.76,JP,1699848182
21,college,64.8569,-147.8028,261.73,86,92,1.75,US,1699848091
22,sur,22.5667,59.5289,299.72,45,86,4.13,OM,1699847874
23,kapa'a,22.0752,-159.319,300.14,81,75,7.72,US,1699848183
24,port mathurin,-19.6833,63.4167,298.32,78,0,2.01,MU,1699848067
25,laguna,38.421,-121.4238,289.2,64,0,2.06,US,1699848087
26,okahandja,-21.9833,16.9167,294.91,43,21,2.43,NA,1699848183
27,bethel,41.3712,-73.414,274.23,77,0,0.0,US,1699847764
28,shindand,33.3029,62.1474,287.56,34,17,0.89,AF,1699848183
29,vadso,70.0744,29.7487,268.24,80,20,1.54,NO,1699848184
30,quatre cocos,-20.2078,57.7625,299.87,65,1,2.19,MU,1699848184
31,codrington,-38.2667,141.9667,289.67,53,5,6.96,AU,1699848082
32,noyabrsk,63.1994,75.4507,263.84,88,44,5.36,RU,1699848184
33,whitehorse,60.7161,-135.0538,269.58,80,100,3.6,CA,1699848086
34,isafjordur,66.0755,-23.124,274.43,84,100,2.4,IS,1699848185
35,port lincoln,-34.7333,135.8667,290.53,62,100,6.15,AU,1699848185
36,wailua homesteads,22.0669,-159.378,299.39,81,75,7.72,US,1699848104
